jersey,longest_touchdown,targets,yards_after_contact,id,yards_after_catch,receptions,avg_yards,dropped_passes,first_downs,redzone_targets,position,touchdowns,catchable_passes,broken_tackles,air_yards,name,yards,sr_id,longest,PPR Points,Half PPR Points,Standard Points
18,0,3,1,4131d4ee-0318-4bb5-832a-4dec80668a4f,20,2,13,1,0,0,WR,0,1,0,6,Justin Jefferson,26,sr:player:2040427,17,4.6,3.6,2.6
18,0,3,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,1,3,14.7,0,0,1,WR,0,0,0,43,Justin Jefferson,44,sr:player:2040427,22,7.4,5.9,4.4
18,71,9,38,4131d4ee-0318-4bb5-832a-4dec80668a4f,79,7,25,0,0,0,WR,1,1,1,96,Justin Jefferson,175,sr:player:2040427,71,30.5,27,23.5
18,0,5,6,4131d4ee-0318-4bb5-832a-4dec80668a4f,27,4,25.8,0,0,0,WR,0,0,0,76,Justin Jefferson,103,sr:player:2040427,29,14.3,12.3,10.3
18,0,5,1,4131d4ee-0318-4bb5-832a-4dec80668a4f,0,3,7.7,0,0,0,WR,0,0,0,23,Justin Jefferson,23,sr:player:2040427,11,5.3,3.8,2.3
18,49,11,41,4131d4ee-0318-4bb5-832a-4dec80668a4f,54,9,18.4,0,0,1,WR,2,0,0,112,Justin Jefferson,166,sr:player:2040427,49,37.6,33.1,28.6
18,0,4,3,4131d4ee-0318-4bb5-832a-4dec80668a4f,14,3,8.7,0,0,0,WR,0,0,0,12,Justin Jefferson,26,sr:player:2040427,12,5.6,4.1,2.6
18,0,4,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,18,3,21.3,0,0,0,WR,0,0,0,46,Justin Jefferson,64,sr:player:2040427,35,9.4,7.9,6.4
18,0,10,24,4131d4ee-0318-4bb5-832a-4dec80668a4f,66,8,16.9,0,0,0,WR,0,0,2,69,Justin Jefferson,135,sr:player:2040427,54,21.5,17.5,13.5
18,39,5,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,3,3,28.7,1,0,0,WR,1,1,0,83,Justin Jefferson,86,sr:player:2040427,39,17.6,16.1,14.6
18,12,13,3,4131d4ee-0318-4bb5-832a-4dec80668a4f,7,7,10,0,0,4,WR,2,1,1,63,Justin Jefferson,70,sr:player:2040427,18,26,22.5,19
18,20,12,12,4131d4ee-0318-4bb5-832a-4dec80668a4f,23,9,13.4,0,0,0,WR,1,0,0,98,Justin Jefferson,121,sr:player:2040427,40,27.1,22.6,18.1
18,0,8,13,4131d4ee-0318-4bb5-832a-4dec80668a4f,17,4,9.8,0,0,0,WR,0,0,1,22,Justin Jefferson,39,sr:player:2040427,17,7.9,5.9,3.9
18,0,11,11,4131d4ee-0318-4bb5-832a-4dec80668a4f,25,8,13,0,0,2,WR,0,0,0,79,Justin Jefferson,104,sr:player:2040427,26,18.4,14.4,10.4
18,0,10,19,4131d4ee-0318-4bb5-832a-4dec80668a4f,50,6,14.2,0,0,1,WR,0,0,1,35,Justin Jefferson,85,sr:player:2040427,25,14.5,11.5,8.5
18,0,12,42,4131d4ee-0318-4bb5-832a-4dec80668a4f,49,9,14.8,0,0,1,WR,0,0,3,84,Justin Jefferson,133,sr:player:2040427,38,22.3,17.8,13.3
18,0,9,19,4131d4ee-0318-4bb5-832a-4dec80668a4f,34,5,14.2,0,3,0,WR,0,2,1,37,Justin Jefferson,71,sr:player:2040427,34,12.1,9.6,7.1
18,14,10,8,4131d4ee-0318-4bb5-832a-4dec80668a4f,17,6,10.833,2,2,1,WR,1,2,0,48,Justin Jefferson,65,sr:player:2040427,14,18.5,15.5,12.5
18,3,11,15,4131d4ee-0318-4bb5-832a-4dec80668a4f,45,9,13.111,1,8,3,WR,1,1,0,73,Justin Jefferson,118,sr:player:2040427,28,26.8,22.3,17.8
18,12,7,4,4131d4ee-0318-4bb5-832a-4dec80668a4f,21,6,14,0,5,1,WR,1,0,0,63,Justin Jefferson,84,sr:player:2040427,31,20.4,17.4,14.4
18,0,8,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,30,7,17.714,0,6,0,WR,0,0,0,94,Justin Jefferson,124,sr:player:2040427,37,19.4,15.9,12.4
18,0,14,27,4131d4ee-0318-4bb5-832a-4dec80668a4f,51,8,10,0,2,1,WR,0,1,0,29,Justin Jefferson,80,sr:player:2040427,26,16,12,8
18,0,4,4,4131d4ee-0318-4bb5-832a-4dec80668a4f,11,2,10.5,1,1,0,WR,0,1,0,10,Justin Jefferson,21,sr:player:2040427,18,4.1,3.1,2.1
18,50,5,3,4131d4ee-0318-4bb5-832a-4dec80668a4f,14,3,23,0,3,3,WR,1,1,0,55,Justin Jefferson,69,sr:player:2040427,50,15.9,14.4,12.9
18,0,11,15,4131d4ee-0318-4bb5-832a-4dec80668a4f,32,9,15.889,0,7,1,WR,0,0,1,111,Justin Jefferson,143,sr:player:2040427,27,23.3,18.8,14.3
18,23,10,4,4131d4ee-0318-4bb5-832a-4dec80668a4f,59,8,21.125,0,7,1,WR,2,0,0,110,Justin Jefferson,169,sr:player:2040427,56,36.9,32.9,28.9
18,0,9,13,4131d4ee-0318-4bb5-832a-4dec80668a4f,21,4,20.75,0,4,2,WR,0,0,1,62,Justin Jefferson,83,sr:player:2040427,30,12.3,10.3,8.3
18,3,14,7,4131d4ee-0318-4bb5-832a-4dec80668a4f,40,11,16.545,0,9,2,WR,1,0,0,142,Justin Jefferson,182,sr:player:2040427,48,35.2,29.7,24.2
18,14,15,5,4131d4ee-0318-4bb5-832a-4dec80668a4f,25,7,11.286,1,4,3,WR,1,1,0,54,Justin Jefferson,79,sr:player:2040427,22,20.9,17.4,13.9
18,12,10,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,9,4,11.75,0,3,1,WR,1,0,0,38,Justin Jefferson,47,sr:player:2040427,18,14.7,12.7,10.7
18,0,12,24,4131d4ee-0318-4bb5-832a-4dec80668a4f,43,8,14.5,0,4,1,WR,0,0,2,73,Justin Jefferson,116,sr:player:2040427,34,19.6,15.6,11.6
18,0,11,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,19,6,9.667,1,3,0,WR,0,1,0,39,Justin Jefferson,58,sr:player:2040427,16,11.8,8.8,5.8
18,45,7,1,4131d4ee-0318-4bb5-832a-4dec80668a4f,11,5,21.4,1,4,0,WR,1,1,0,96,Justin Jefferson,107,sr:player:2040427,45,21.7,19.2,16.7
18,36,11,5,4131d4ee-0318-4bb5-832a-4dec80668a4f,81,9,20.444,0,7,3,WR,2,0,0,103,Justin Jefferson,184,sr:player:2040427,64,39.4,34.9,30.4
18,0,12,11,4131d4ee-0318-4bb5-832a-4dec80668a4f,19,6,8,0,4,3,WR,0,0,2,29,Justin Jefferson,48,sr:player:2040427,11,10.8,7.8,4.8
18,0,6,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,7,3,4.667,0,0,1,WR,0,0,0,7,Justin Jefferson,14,sr:player:2040427,6,4.4,2.9,1.4
18,0,13,11,4131d4ee-0318-4bb5-832a-4dec80668a4f,62,10,14.7,1,5,1,WR,0,1,0,85,Justin Jefferson,147,sr:player:2040427,41,24.7,19.7,14.7
18,0,13,13,4131d4ee-0318-4bb5-832a-4dec80668a4f,61,12,12.833,0,9,2,WR,0,0,1,93,Justin Jefferson,154,sr:player:2040427,31,27.4,21.4,15.4
18,0,8,10,4131d4ee-0318-4bb5-832a-4dec80668a4f,70,6,17.833,0,3,0,WR,0,0,0,37,Justin Jefferson,107,sr:player:2040427,47,16.7,13.7,10.7
18,0,8,16,4131d4ee-0318-4bb5-832a-4dec80668a4f,43,6,16.333,0,3,1,WR,0,0,0,55,Justin Jefferson,98,sr:player:2040427,29,15.8,12.8,9.8
18,9,13,6,4131d4ee-0318-4bb5-832a-4dec80668a4f,28,7,16.429,1,4,3,WR,1,1,0,87,Justin Jefferson,115,sr:player:2040427,47,24.5,21,17.5
18,22,16,31,4131d4ee-0318-4bb5-832a-4dec80668a4f,32,10,19.3,1,8,4,WR,1,1,1,161,Justin Jefferson,193,sr:player:2040427,46,35.3,30.3,25.3
18,0,5,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,7,3,11,0,2,0,WR,0,0,0,26,Justin Jefferson,33,sr:player:2040427,15,6.3,4.8,3.3
18,6,11,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,40,9,15.444,0,5,1,WR,1,0,0,99,Justin Jefferson,139,sr:player:2040427,37,28.9,24.4,19.9
18,10,11,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,3,7,6.429,2,4,2,WR,1,3,0,42,Justin Jefferson,45,sr:player:2040427,10,17.5,14,10.5
18,0,15,14,4131d4ee-0318-4bb5-832a-4dec80668a4f,56,11,20.273,0,8,1,WR,0,0,1,167,Justin Jefferson,223,sr:player:2040427,47,33.3,27.8,22.3
18,8,16,9,4131d4ee-0318-4bb5-832a-4dec80668a4f,53,12,10.25,0,7,2,WR,1,0,0,70,Justin Jefferson,123,sr:player:2040427,20,30.3,24.3,18.3
18,17,16,3,4131d4ee-0318-4bb5-832a-4dec80668a4f,45,12,11.083,0,8,2,WR,1,0,1,88,Justin Jefferson,133,sr:player:2040427,25,31.3,25.3,19.3
18,0,5,1,4131d4ee-0318-4bb5-832a-4dec80668a4f,1,1,15,0,1,0,WR,0,0,0,14,Justin Jefferson,15,sr:player:2040427,15,2.5,2,1.5
18,0,5,2,4131d4ee-0318-4bb5-832a-4dec80668a4f,16,4,9.5,0,2,2,WR,0,0,0,22,Justin Jefferson,38,sr:player:2040427,23,7.8,5.8,3.8
18,0,12,12,4131d4ee-0318-4bb5-832a-4dec80668a4f,67,9,16.667,0,5,0,WR,0,0,0,83,Justin Jefferson,150,sr:player:2040427,42,24,19.5,15
18,0,13,13,4131d4ee-0318-4bb5-832a-4dec80668a4f,36,11,14.455,0,9,1,WR,0,0,1,123,Justin Jefferson,159,sr:player:2040427,30,26.9,21.4,15.9
18,52,13,37,4131d4ee-0318-4bb5-832a-4dec80668a4f,65,7,21.286,0,6,3,WR,1,0,0,84,Justin Jefferson,149,sr:player:2040427,52,27.9,24.4,20.9
18,30,9,3,4131d4ee-0318-4bb5-832a-4dec80668a4f,4,6,14.167,0,6,1,WR,2,0,0,81,Justin Jefferson,85,sr:player:2040427,30,26.5,23.5,20.5
18,0,6,5,4131d4ee-0318-4bb5-832a-4dec80668a4f,10,3,9.333,1,2,0,WR,0,1,0,18,Justin Jefferson,28,sr:player:2040427,14,5.8,4.3,2.8
18,0,3,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,0,2,13.5,0,2,0,WR,0,0,0,27,Justin Jefferson,27,sr:player:2040427,15,4.7,3.7,2.7
18,0,10,0,4131d4ee-0318-4bb5-832a-4dec80668a4f,9,7,12,0,5,1,WR,0,0,0,75,Justin Jefferson,84,sr:player:2040427,19,15.4,11.9,8.4
18,26,10,11,4131d4ee-0318-4bb5-832a-4dec80668a4f,18,6,23.5,0,5,1,WR,1,0,1,123,Justin Jefferson,141,sr:player:2040427,29,26.1,23.1,20.1
18,0,10,4,4131d4ee-0318-4bb5-832a-4dec80668a4f,7,5,11.8,0,4,4,WR,0,3,0,52,Justin Jefferson,59,sr:player:2040427,21,10.9,8.4,5.9
18,38,14,16,4131d4ee-0318-4bb5-832a-4dec80668a4f,44,12,16,0,7,0,WR,1,0,0,148,Justin Jefferson,192,sr:player:2040427,38,37.2,31.2,25.2
